Date,Open,High,Low,Close,Adj Close,Volume
2016-03-28,7.790932,7.870634,7.482084,7.482084,7.217030,4805864
2016-03-29,7.482084,7.751080,7.482084,7.492047,7.226640,3218965
2016-03-30,7.641489,7.691303,7.502010,7.691303,7.418838,2309585
2016-03-31,7.681340,7.711229,7.541861,7.541861,7.274690,1681249
2016-04-01,7.502010,7.511972,7.193162,7.272864,7.015222,3867375
2016-04-06,7.272864,7.272864,7.073608,7.213087,6.957562,2176088
2016-04-07,7.213087,7.262902,7.043719,7.083571,6.832634,1957275
2016-04-08,7.043719,7.302753,7.043719,7.133385,6.880684,2305570
2016-04-11,6.993905,7.003868,6.734872,6.814574,6.573167,5753386
2016-04-12,6.774723,6.874351,6.625281,6.675095,6.438629,4644263
2016-04-13,6.585429,6.774723,6.565504,6.695020,6.457848,3546181
2016-04-14,6.714946,7.173236,6.685058,7.083571,6.832634,3952692
2016-04-15,7.073608,7.073608,6.884314,6.973980,6.726926,1959282
2016-04-18,6.924165,7.352567,6.894277,7.203125,6.947953,3687707
2016-04-19,7.203125,7.621563,7.203125,7.601638,7.332349,7457721
2016-04-20,7.601638,7.601638,7.292790,7.342604,7.082491,3777039
2016-04-21,7.362530,7.482084,7.252939,7.292790,7.034442,1395186
2016-04-22,7.292790,7.322679,7.003868,7.063645,6.813415,2799405
2016-04-25,7.063645,7.163273,7.033757,7.103496,6.851854,1234589
2016-04-26,7.103496,7.342604,7.103496,7.153310,6.899903,3745924
2016-04-27,7.163273,7.332641,7.073608,7.242976,6.986393,2613715
2016-04-28,7.242976,7.242976,7.043719,7.073608,6.823024,2596652
2016-04-29,7.123422,7.173236,6.993905,7.033757,6.784585,2062667
2016-05-03,6.964017,7.023794,6.904240,6.914203,6.669267,1662178
2016-05-04,6.914203,6.944091,6.485801,6.555541,6.323310,2953980
2016-05-05,6.495764,6.724909,6.495764,6.695020,6.457848,1555783
2016-05-06,6.695020,6.754797,6.595392,6.665132,6.429019,1433327
2016-05-09,6.575466,6.645206,6.505727,6.555541,6.323310,1189421
2016-05-10,6.555541,6.565504,6.485801,6.505727,6.275260,1292805
2016-05-11,6.525652,6.565504,6.137102,6.137102,5.919694,2414976
2016-05-12,6.137102,6.356284,6.077325,6.077325,5.862035,3090487
2016-05-13,6.097251,6.117176,5.479555,5.479555,5.285441,5100960
2016-05-16,5.389890,5.509444,5.200596,5.240447,5.054803,4245782
2016-05-17,5.270336,5.758514,5.051154,5.758514,5.554518,7590213
2016-05-18,5.808329,6.057399,5.698738,5.728626,5.525689,6641688
2016-05-19,5.698738,5.728626,5.559258,5.619035,5.419980,2353749
2016-05-20,5.609072,5.678812,5.529369,5.599109,5.400760,1720394
2016-05-23,5.609072,5.937845,5.609072,5.788403,5.583348,3525103
2016-05-24,5.818291,5.947808,5.668849,5.668849,5.468029,2465163
2016-05-25,5.768477,5.768477,5.609072,5.628998,5.429590,2004450
2016-05-26,5.628998,5.708700,5.579184,5.599109,5.400760,1292805
2016-05-27,5.609072,5.778440,5.559258,5.619035,5.419980,3293241
2016-05-30,5.678812,5.778440,5.628998,5.638961,5.439200,1391171
2016-05-31,5.628998,5.728626,5.628998,5.668849,5.468029,1244626
2016-06-01,5.668849,5.878068,5.658886,5.798366,5.592958,2947957
2016-06-02,5.848180,5.878068,5.688775,5.698738,5.496860,1929170
2016-06-03,5.708700,5.798366,5.678812,5.688775,5.487249,1437342
2016-06-04,null,null,null,null,null,null
2016-06-06,5.927883,5.937845,5.708700,5.798366,5.592958,2114861
2016-06-07,5.868106,5.897994,5.758514,5.778440,5.573738,1838835
2016-06-08,5.798366,5.798366,5.688775,5.738589,5.535298,982652
2016-06-13,5.678812,5.678812,5.419778,5.459630,5.266222,1977350
2016-06-14,5.399853,5.569221,5.399853,5.539332,5.343101,917410
2016-06-15,5.539332,5.579184,5.469592,5.509444,5.314271,1385148
2016-06-16,5.489518,5.549295,5.479555,5.549295,5.352710,1647122
2016-06-17,5.549295,5.648923,5.549295,5.599109,5.400760,1103100
2016-06-20,5.609072,5.708700,5.609072,5.688775,5.487249,1621025
2016-06-21,5.848180,6.256656,5.748552,6.256656,6.035013,6883587
2016-06-22,6.246693,6.675095,6.226767,6.535615,6.304090,5991270
2016-06-23,6.495764,6.824537,6.376210,6.704983,6.467458,4207640
2016-06-24,6.724909,6.854426,6.266619,6.475838,6.246431,5865803
2016-06-27,6.465875,6.555541,6.426024,6.455912,6.227211,2758252
2016-06-28,6.455912,6.475838,6.346321,6.356284,6.131112,235876
2016-06-29,6.465875,6.565504,6.416061,6.435987,6.207991,1370092
2016-06-30,6.445950,6.475838,6.376210,6.426024,6.198381,1542734
2016-07-01,6.505727,6.625281,6.455912,6.505727,6.275260,1931178
2016-07-04,6.525652,6.605355,6.445950,6.535615,6.304090,1144253
2016-07-05,6.535615,7.183199,6.515689,7.183199,6.928733,7375415
2016-07-06,7.183199,7.272864,7.023794,7.143348,6.890294,5006610
2016-07-07,7.023794,7.143348,6.983942,7.043719,6.794194,1766566
2016-07-08,7.043719,7.043719,7.043719,7.043719,6.794194,0
2016-07-11,7.033757,7.362530,7.033757,7.093534,6.842245,2791375
2016-07-12,7.083571,7.123422,7.023794,7.053682,6.803804,2221256
2016-07-13,7.053682,7.073608,6.824537,6.904240,6.659657,2577581
2016-07-14,6.874351,6.884314,6.764760,6.844463,6.601997,1873965
2016-07-15,6.844463,6.964017,6.764760,6.864388,6.621216,2549476
2016-07-18,6.864388,6.904240,6.675095,6.704983,6.467458,2708066
2016-07-19,6.724909,6.734872,6.535615,6.595392,6.361750,2348730
2016-07-20,6.605355,6.724909,6.505727,6.625281,6.390579,2648846
2016-07-21,6.575466,7.113459,6.575466,6.834500,6.592387,4893188
2016-07-22,6.814574,6.814574,6.615318,6.744835,6.505898,2644831
2016-07-25,6.744835,6.744835,6.545578,6.545578,6.313700,2868663
2016-07-26,6.525652,6.625281,6.475838,6.515689,6.284870,2608696
2016-07-27,6.545578,6.605355,6.475838,6.515689,6.284870,1835823
2016-07-28,6.525652,6.605355,6.475838,6.495764,6.265651,1872962
2016-07-29,6.495764,6.595392,6.485801,6.525652,6.294480,1069977
2016-08-01,6.525652,6.635243,6.505727,6.625281,6.390579,1404219
2016-08-02,6.615318,6.724909,6.615318,6.675095,6.438629,1565820
2016-08-03,6.605355,6.675095,6.555541,6.655169,6.419409,1087040
2016-08-04,6.655169,6.675095,6.585429,6.615318,6.380970,785921
2016-08-05,6.605355,6.655169,6.585429,6.615318,6.380970,1043880
2016-08-08,6.615318,6.695020,6.595392,6.615318,6.380970,1013768
2016-08-09,6.595392,6.734872,6.585429,6.615318,6.380970,1312880
2016-08-10,6.635243,6.645206,6.416061,6.435987,6.207991,2148988
2016-08-11,6.336359,6.356284,6.157028,6.216805,5.996574,2387876
2016-08-12,6.226767,6.266619,6.097251,6.166990,5.948524,1240611
2016-08-15,6.256656,6.376210,6.186916,6.326396,6.102283,1369089
2016-08-16,6.226767,6.376210,6.226767,6.306470,6.083063,944510
2016-08-17,6.366247,6.376210,6.256656,6.306470,6.083063,701607
2016-08-18,6.306470,6.356284,6.296507,6.316433,6.092672,655436
2016-08-19,6.316433,6.455912,6.316433,6.386173,6.159942,935477
2016-08-22,6.406098,6.416061,6.326396,6.326396,6.102283,1799689
2016-08-23,6.346321,6.465875,6.336359,6.465875,6.236821,1558794
2016-08-24,6.485801,6.824537,6.485801,6.784686,6.544338,4508759
2016-08-25,6.774723,6.973980,6.774723,6.894277,6.650046,4580024
2016-08-26,7.043719,7.123422,6.964017,6.973980,6.726926,4217677
